seed,fold,macro_f1,f1_INTJ,f1_DM,f1_DIR
1,1,0.45843045843045843,0.0,0.6060606060606061,0.7692307692307693
1,2,0.40458640458640466,0.0,0.4864864864864865,0.7272727272727273
2,1,0.6616033755274262,0.4,0.8,0.7848101265822784
2,2,0.42181886935148416,0.0,0.5581395348837209,0.7073170731707317
3,1,0.5037037037037037,0.0,0.7111111111111111,0.8
3,2,0.2866666666666667,0.0,0.16,0.7
4,1,0.48888888888888893,0.0,0.72,0.7466666666666667
4,2,0.47418630751964086,0.0,0.6818181818181818,0.7407407407407407
5,1,0.32,0.0,0.24,0.72
5,2,0.4609421586165772,0.0,0.6153846153846154,0.7674418604651163
