seed,fold,macro_f1,f1_INTJ,f1_DM,f1_DIR
1,1,0.5425567760630771,0.10526315789473684,0.8181818181818182,0.704225352112676
1,2,0.468216649251132,0.27586206896551724,0.5454545454545454,0.5833333333333334
2,1,0.6613925170790415,0.3333333333333333,0.8837209302325582,0.7671232876712328
2,2,0.5277692123205536,0.2222222222222222,0.723404255319149,0.6376811594202898
3,1,0.5118367346938776,0.16,0.7755102040816326,0.6
3,2,0.5240981240981241,0.18181818181818182,0.7619047619047619,0.6285714285714286
4,1,0.492118112807768,0.2564102564102564,0.7027027027027027,0.5172413793103449
4,2,0.5932432432432432,0.3,0.75,0.7297297297297297
5,1,0.565030525030525,0.32,0.717948717948718,0.6571428571428571
5,2,0.5541246971822007,0.36363636363636365,0.5161290322580645,0.782608695652174
